name,price,link_picture,Produkttyp,Vorgeschlagenes Geschlecht,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sound-Effekte,Produktfarbe,Material,Ursprungsland,EU TSD Warnung,EU TSD Sprache,Sicherheitswarnung,Batterien erforderlich,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,Verpackungsart,Menge pro Packung,Anzahl der Versandkartons pro Vorlagenkarton,Montage erforderlich,Anzahl der Pakete,ASIN,Montagezeit,Freigabedatum (TT/MM/JJ),Figur enthalten,Nachhaltigkeitszertifikate,Menge pro Versandkarton,Länge des Versandkartons,Breite des Versandkartons,Höhe des Versandkartons,Gewicht Versandkarton,Nettogewicht Hauptkarton,Versandkarton pro Palettenlage,Anzahl Produkte pro Versandkarton,Hauptkarton GTIN (EAN/UPC),Lagenanzahl pro Palette,Produkte pro Palettenlage,Fernbedienung erforderlich,Warnung vor Erstickungsgefahr,Fernbedienung enthalten,Akkus/Batterien enthalten,null
LEGO Creator 3in1 - Überschalljet (31126),24.95,https://www.fcw.ch/api/ProcessRequest/133767/BN/268x166-lego-creator-3in1-ueberschalljet-31126.jpg?sourceId=870427&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 215 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik , Nicht für Kinder unter 18 Monaten geeignet ,, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 46 mm , 382 g , Box ,,, ,, B09BNTPGVD ,,,,,,,,,,,,,,,,,,, ,"
                        "
LEGO Technic - Monster Jam Megalodon (42134),26.95,https://www.fcw.ch/api/ProcessRequest/136669/BN/268x166-lego-technic-monster-jam-megalodon-42134.jpg?sourceId=870324&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 260 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 141 mm , 262 mm , 91 mm , 420 g , Box ,,, ,, B09BNXY2T3 ,,,,,,,,,,,,,,,, ,, , ,
LEGO Ninjago - Lloyds und Arins Training-Mechs (71794),99,https://www.fcw.ch/api/ProcessRequest/188331/BN/268x166-lego-ninjago-lloyds-und-arins-training-mechs-71794.jpg?sourceId=886636&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 764 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 354 mm ," 70,5 mm "," 1,09 kg ", Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BPC8W2JJ , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Mandalorianer Helm (75328),84.95,https://www.fcw.ch/api/ProcessRequest/130212/BN/268x166-lego-star-wars-mandalorianer-helm-75328.jpg?sourceId=870467&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 584 Stück(e) , , Mehrfarbig , Kunststoff , Dänemark ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 354 mm , 191 mm , 91 mm , 790 g , Box ,,, ,, B09BNWZF68 ,,,,,,,,,,,,,,,,,,, ,"
                        "
LEGO Technic - Schwerlast-Abschleppwagen (42128),189,https://www.fcw.ch/api/ProcessRequest/124981/BN/268x166-lego-technic-schwerlast-abschleppwagen-42128.jpg?sourceId=864312&source=Product, Bausatz , Junge/Mädchen , 11 Jahr(e) , 99 Jahr(e) , 2017 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 582 mm , 118 mm ," 2,92 kg ", Box ,,, ,, B08WWPQJTN ,,,,, 3 Stück(e) ,,,,,,,,,,, ,, , ,"
                        "
LEGO Minecraft - Das zerstörte Portal (21172),39.95,https://www.fcw.ch/api/ProcessRequest/136382/BN/268x166-lego-minecraft-das-zerstoerte-portal-21172.jpg?sourceId=864268&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 316 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 222 mm , 262 mm , 76 mm , 595 g , Box ,,, ,, B08WWWGJR6 ,, 01/06/2021 , , Forest Stewardship Council (FSC) Mix , 5 Stück(e) , 395 mm , 238 mm , 280 mm ," 3,19 kg "," 2,85 kg ", 10 Stück(e) , 5 Stück(e) , 5702017040776 , 4 Stück(e) , 50 Stück(e) , , Kleinteile , , ,
LEGO Creator Expert - Stadtleben (10255),299,https://www.fcw.ch/api/ProcessRequest/125167/BN/268x166-lego-creator-expert-stadtleben-10255.jpg?sourceId=826885&source=Product, Bausatz , Junge/Mädchen , 16 Jahr(e) , 99 Jahr(e) , 4002 Stück(e) , , Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,,, 480 mm , 582 mm , 170 mm ," 4,66 kg ", Box ,,,,,,, 01/04/2017 , , Forest Stewardship Council (FSC) Mix ,, 598 mm , 357 mm , 499 mm ," 10,6 kg ",, 4 Stück(e) , 2 Stück(e) , 5702015924931 , 2 Stück(e) , 8 Stück(e) ,, Kleinteile ,,,
LEGO Speed Champions - Koenigsegg Jesko (76900),32.95,https://www.fcw.ch/api/ProcessRequest/136969/BN/268x166-lego-speed-champions-koenigsegg-jesko-76900.jpg?sourceId=864223&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 280 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 141 mm , 262 mm , 72 mm , 305 g , Box ,,, ,, B08W8W71HC ,, 01/06/2021 , , Forest Stewardship Council (FSC) Mix , 4 Stück(e) , 299 mm , 160 mm , 280 mm ," 1,41 kg "," 1,2 kg ", 19 Stück(e) , 4 Stück(e) , 5702016956535 , 4 Stück(e) , 76 Stück(e) , , Kleinteile , , ,"
                        "
LEGO Icons - Trockenblumengesteck (10314),59.95,https://www.fcw.ch/api/ProcessRequest/174891/BN/268x166-lego-icons-trockenblumengesteck-10314.jpg?sourceId=880391&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 812 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 56,5 mm ", 660 g , Box , 1 Stück(e) ,, ,, B01NBG18SX , 120 min ,,,,,,,,,,,,,,,,,, ,
LEGO Duplo - Mickys und Minnies Geburtstagszug (10941),42.95,https://www.fcw.ch/api/ProcessRequest/124730/BN/268x166-lego-duplo-mickys-und-minnies-geburtstagszug-10941.jpg?sourceId=861142&source=Product, Bausatz , Junge/Mädchen , 2 Jahr(e) , 99 Jahr(e) , 22 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 354 mm , 70 mm , 424 g , Box ,,, ,, B08GPKTN2B ,,, , Forest Stewardship Council (FSC) Mix , 4 Stück(e) , 370 mm , 296 mm , 210 mm ," 2,05 kg "," 1,7 kg ", 8 Stück(e) , 4 Stück(e) , 5702016944358 , 5 Stück(e) , 32 Stück(e) ,,,, ,"
                        "
LEGO City - Mobile Polizei-Einsatzzentrale (60315),54.95,https://www.fcw.ch/api/ProcessRequest/136862/BN/268x166-lego-city-mobile-polizei-einsatzzentrale-60315.jpg?sourceId=870333&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 436 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 785 g , Box ,,, ,, B09BNVM6JF ,,,,,,,,,,,,,,,,,,, ,
LEGO Star Wars - Snubfighter der Piraten (75346),46.95,https://www.fcw.ch/api/ProcessRequest/184660/BN/268x166-lego-star-wars-snubfighter-der-piraten-75346.jpg?sourceId=880441&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 285 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 46 mm , 380 g , Box , 1 Stück(e) ,, ,, B0BBVC5LJD , 60 min ,,,,,,,,,,,,,,,,,, ,
LEGO Classic - Mittelgrosse Bausteine-Box (10696),36.95,https://www.fcw.ch/api/ProcessRequest/136805/BN/268x166-lego-classic-mittelgrosse-bausteine-box-10696.jpg?sourceId=714987&source=Product, Bausatz , Junge/Mädchen , 4 Jahr(e) , 99 Jahr(e) , 484 Stück(e) ,, Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,,, 179 mm ," 369,5 mm ", 180 mm ," 1,04 kg ",,,,,,,, 01/03/2015 , , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 388 mm , 196 mm , 373 mm ," 2,48 kg ",, 12 Stück(e) , 2 Stück(e) , 5702015395588 , 3 Stück(e) , 24 Stück(e) ,,,,,
LEGO Gabby's Dollhouse - Gabbys Puppenhaus (10788),99,https://www.fcw.ch/api/ProcessRequest/190803/BN/268x166-lego-gabby-s-dollhouse-gabbys-puppenhaus-10788.jpg?sourceId=886572&source=Product, Bausatz , Junge/Mädchen , 4 Jahr(e) , 99 Jahr(e) , 498 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 354 mm , 94 mm ," 1,7 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B01N1PKF52 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Super Mario - Abenteuer mit Mario - Starterset (71360),74.95,https://www.fcw.ch/api/ProcessRequest/59987/BN/268x166-lego-super-mario-abenteuer-mit-mario-starterset-71360.jpg?sourceId=855814&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 231 Stück(e) , , Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,, , 262 mm , 317 mm , 90 mm , 510 g , Box ,,,,,,, 01/08/2020 , , Forest Stewardship Council (FSC) Mix , 4 Stück(e) , 578 mm , 199 mm , 280 mm ," 2,43 kg "," 2,04 kg ", 8 Stück(e) , 4 Stück(e) , 5702016887112 , 4 Stück(e) , 32 Stück(e) ,, Kleinteile ,, ,"
                        "
LEGO Star Wars - N-1 Starfighter™ des Mandalorianers – Microfighter (75363),18.95,https://www.fcw.ch/api/ProcessRequest/190542/BN/268x166-lego-star-wars-n-1-starfighter-des-mandalorianers-microfighter-75363.jpg?sourceId=886662&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 88 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 122 mm , 141 mm , 46 mm , 100 g , Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BV7BVR1W , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO DREAMZzz - Der Albwärter (71455),42.95,https://www.fcw.ch/api/ProcessRequest/190605/BN/268x166-lego-dreamzzz-der-albwaerter-71455.jpg?sourceId=886641&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 274 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 191 mm , 61 mm , 350 g , Box , 1 Stück(e) , 6 Stück(e) , , 1 , B0BV79Z8ZH , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO City - Mobiles Polizeihunde-Training (60369),24.95,https://www.fcw.ch/api/ProcessRequest/169863/BN/268x166-lego-city-mobiles-polizeihunde-training-60369.jpg?sourceId=880292&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) , 99 Jahr(e) , 197 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 72 mm , 434 g , Box ,,, ,, B0BBRY3DC7 ,,,,,,,,,,,,,,,,,,, ,
LEGO Star Wars - Der N-1 Starfighter des Mandalorianers (75325),79.95,https://www.fcw.ch/api/ProcessRequest/134517/BN/268x166-lego-star-wars-der-n-1-starfighter-des-mandalorianers-75325.jpg?sourceId=870468&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 412 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 56,5 mm ", 730 g , Box ,,, ,, B09BNZXG6W ,,,,,,,,,,,,,,,,,,, ,
LEGO Spider-Man - Spider-Man Figur (76226),39.95,https://www.fcw.ch/api/ProcessRequest/149320/BN/268x166-lego-spider-man-spider-man-figur-76226.jpg?sourceId=874230&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 258 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 61 mm , 191 mm , 262 mm , 307 g , Box ,,, ,, B09QFWKFS1 ,,,,,,,,,,,,,,,, ,, ,,
LEGO Ninjago - Lloyds Ultragolddrache (71774),169,https://www.fcw.ch/api/ProcessRequest/140085/BN/268x166-lego-ninjago-lloyds-ultragolddrache-71774.jpg?sourceId=874222&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 989 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm ," 70,5 mm "," 1,47 kg ", Box ,,, ,, B09QFT5CQG ,,,,,,,,,,,,,,,,,,,,
LEGO Super Mario - Der mächtige Bowser (71411),299,https://www.fcw.ch/api/ProcessRequest/154584/BN/268x166-lego-super-mario-der-maechtige-bowser-71411.jpg?sourceId=874260&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 2807 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 124 mm , 582 mm , 480 mm ," 3,98 kg ", Box ,,, ,, B09QFK3R2N ,,,,,,,,,,,,,,,, ,, ,,
LEGO City - LKW mit Weltraumkarussell (60313),54.95,https://www.fcw.ch/api/ProcessRequest/167787/BN/268x166-lego-city-lkw-mit-weltraumkarussell-60313.jpg?sourceId=884685&source=Product, Bausatz ,, 6 Jahr(e) , 99 Jahr(e) , 433 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 56,5 mm ", 715 g , Box ,,, ,,,,,,,,,,,,,,,,,,,,,,
LEGO Ninjago - Zanes Eisdrache (71786),119,https://www.fcw.ch/api/ProcessRequest/169741/BN/268x166-lego-ninjago-zanes-eisdrache-71786.jpg?sourceId=880358&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 973 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 540 mm , 59 mm ," 1,42 kg ", Box ,,, ,, B0BBRYGN1H ,,,,,,,,,,,,,,,,,,, ,
LEGO Icons - Jazzclub (10312),249,https://www.fcw.ch/api/ProcessRequest/180729/BN/268x166-lego-icons-jazzclub-10312.jpg?sourceId=885112&source=Product, Bausatz ,, 18 Jahr(e) , 99 Jahr(e) , 2899 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 480 mm , 582 mm , 124 mm ," 3,87 kg ", Box ,,, ,,,,,,,,,,,,,,,,,,,,,,
LEGO City - Löscheinsatz und Verfolgungsjagd (60319),36.95,https://www.fcw.ch/api/ProcessRequest/136076/BN/268x166-lego-city-loescheinsatz-und-verfolgungsjagd-60319.jpg?sourceId=870292&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) , 99 Jahr(e) , 295 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 282 mm , 59 mm , 560 g , Box ,,, ,, B09BNW36Z2 ,,,,,,,,,,,,,,,,,,, ,
LEGO Architecture - New York City (21028),59.95,https://www.fcw.ch/api/ProcessRequest/142910/BN/268x166-lego-architecture-new-york-city-21028.jpg?sourceId=759448&source=Product, Bausatz , Junge/Mädchen , 12 Jahr(e) , 99 Jahr(e) , 598 Stück(e) ,, Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,,, 191 mm , 262 mm , 61 mm , 657 g ,,,,,,,, 01/01/2016 , , Forest Stewardship Council (FSC) Mix , 6 Stück(e) , 398 mm , 199 mm , 280 mm ," 4,28 kg ",, 12 Stück(e) , 6 Stück(e) , 5702015646574 , 4 Stück(e) , 72 Stück(e) ,,,,,"
                        "
LEGO City - Baufahrzeuge und Kran mit Abrissbirne (60391),54.95,https://www.fcw.ch/api/ProcessRequest/188799/BN/268x166-lego-city-baufahrzeuge-und-kran-mit-abrissbirne-60391.jpg?sourceId=886603&source=Product, Bausatz , Junge/Mädchen , 4 Jahr(e) , 99 Jahr(e) , 235 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 61 mm , 970 g , Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BPCD8L88 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - Dom's Dodge Charger (42111),139,https://www.fcw.ch/api/ProcessRequest/56852/BN/268x166-lego-technic-dom-s-dodge-charger-42111.jpg?sourceId=851771&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 154 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Nicht für Kinder unter 36 Monaten geeignet, Keine Warnung zutreffend ",,, , 141 mm , 157 mm , 61 mm ," 1,65 kg ", Box ,,, ,, B08G49HYQB ,, 27/04/2020 , , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 394 mm , 252 mm , 373 mm ," 3,72 kg "," 3,3 kg ", 9 Stück(e) , 2 Stück(e) , 5702016831801 , 3 Stück(e) , 18 Stück(e) ,,,,,
LEGO Art - Hokusai – Große Welle (31208),119,https://www.fcw.ch/api/ProcessRequest/169514/BN/268x166-lego-art-hokusai-grosse-welle-31208.jpg?sourceId=880281&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 1810 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 112 mm ," 2,7 kg ", Box ,,, ,, B0BBRY1XKD ,,,,,,,,,,,,,,,,,,, ,
LEGO Sonic - Sonic vs. Dr. Eggmans Death Egg Robot (76993),79.95,https://www.fcw.ch/api/ProcessRequest/190574/BN/268x166-lego-sonic-sonic-vs-dr-eggmans-death-egg-robot-76993.jpg?sourceId=886672&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 615 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 56,5 mm ", 700 g , Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BV7B5V9K , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO DREAMZzz - Pegasus (71457),54.95,https://www.fcw.ch/api/ProcessRequest/190796/BN/268x166-lego-dreamzzz-pegasus-71457.jpg?sourceId=886643&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 482 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 282 mm , 76 mm , 641 g , Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV793KCY , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Duplo - Zahlenzug – Zählen lernen (10954),24.95,https://www.fcw.ch/api/ProcessRequest/136589/BN/268x166-lego-duplo-zahlenzug-zaehlen-lernen-10954.jpg?sourceId=864339&source=Product, Bausatz , Junge/Mädchen ,, 99 Jahr(e) , 23 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 354 mm , 91 mm , 532 g , Box ,,, ,, B08W5FV9GN ,, 01/06/2021 , , Forest Stewardship Council (FSC) Mix , 4 Stück(e) , 398 mm , 199 mm , 373 mm ," 2,46 kg "," 2,1 kg ", 12 Stück(e) , 4 Stück(e) , 5702017006192 , 3 Stück(e) , 48 Stück(e) , ,, , ,
LEGO Star Wars - Die Scythe – Transportschiff des Großinquisitors (75336),119,https://www.fcw.ch/api/ProcessRequest/149861/BN/268x166-lego-star-wars-die-scythe-transportschiff-des-grossinquisitors-75336.jpg?sourceId=874250&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 924 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 74 mm ," 1,39 kg ", Box ,,, ,, B09QFZCJYY ,,,,,,,,,,,,,,,,,,,,
LEGO City - Stadtzentrum (60380),219,https://www.fcw.ch/api/ProcessRequest/188702/BN/268x166-lego-city-stadtzentrum-60380.jpg?sourceId=886601&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 2010 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 480 mm , 582 mm , 91 mm ," 3,29 kg ", Box , 1 Stück(e) , 1 Stück(e) , , 1 , B0BPC55SRJ , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Ninjago - Der Kristallkönig (71772),74.95,https://www.fcw.ch/api/ProcessRequest/140118/BN/268x166-lego-ninjago-der-kristallkoenig-71772.jpg?sourceId=874220&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 722 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 61 mm , 930 g , Box ,,, ,, B09QG2KZDY ,,,,,,,,,,,,,,,,,,,,
