name,price,link_picture,Produkttyp,Vorgeschlagenes Geschlecht,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sound-Effekte,Produktfarbe,Material,Ursprungsland,EU TSD Warnung,EU TSD Sprache,Sicherheitswarnung,Batterien erforderlich,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,Verpackungsart,Menge pro Packung,Anzahl der Versandkartons pro Vorlagenkarton,Montage erforderlich,Anzahl der Pakete,ASIN,Montagezeit,Freigabedatum (TT/MM/JJ),Figur enthalten,Nachhaltigkeitszertifikate,Menge pro Versandkarton,Länge des Versandkartons,Breite des Versandkartons,Höhe des Versandkartons,Gewicht Versandkarton,Nettogewicht Hauptkarton,Versandkarton pro Palettenlage,Anzahl Produkte pro Versandkarton,Hauptkarton GTIN (EAN/UPC),Lagenanzahl pro Palette,Produkte pro Palettenlage,Fernbedienung erforderlich,Warnung vor Erstickungsgefahr,Fernbedienung enthalten,Akkus/Batterien enthalten,null
LEGO City - Raumfahrtzentrum (60351),169,https://www.fcw.ch/api/ProcessRequest/163555/BN/268x166-lego-city-raumfahrtzentrum-60351.jpg?sourceId=880350&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 1010 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn , Nicht für Kinder unter 18 Monaten geeignet ,, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 582 mm , 87 mm ," 2,11 kg ", Box ,,, ,, B09PRKKXPT ,,,,,,,,,,,,,,,,,,, ,"
                        "
LEGO Art - Weltkarte (31203) ,329,https://www.fcw.ch/api/ProcessRequest/126181/BN/268x166-lego-art-weltkarte-31203.jpg?sourceId=867750&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 11695 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 384 mm , 552 mm , 152 mm ," 5,53 kg ", Box ,,, ,,,,,,,,,,,,,,,,,, ,, , ,
LEGO Disney - Cinderellas Schloss (43206),99,https://www.fcw.ch/api/ProcessRequest/139426/BN/268x166-lego-disney-cinderellas-schloss-43206.jpg?sourceId=874192&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) , 99 Jahr(e) , 365 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 354 mm , 378 mm ," 70,5 mm ", 846 g , Box ,,, ,, B09QFNGM1X ,,,,,,,,,,,,,,,,,,,,
LEGO Duplo - Spider-Man & Friends: Jahrmarktabenteuer (10963),74.95,https://www.fcw.ch/api/ProcessRequest/139075/BN/268x166-lego-duplo-spider-man-friends-jahrmarktabenteuer-10963.jpg?sourceId=874168&source=Product, Bausatz , Junge/Mädchen , 2 Jahr(e) , 99 Jahr(e) , 41 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 354 mm , 94 mm , 871 g , Box ,,, ,, B09QFPRVN2 ,,,,,,,,,,,,,,,,,,,,
LEGO Avatar - Skimwing Abenteuer (75576),46.95,https://www.fcw.ch/api/ProcessRequest/169328/BN/268x166-lego-avatar-skimwing-abenteuer-75576.jpg?sourceId=880284&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 259 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 46 mm , 287 g , Box ,,, ,, B0BBRWRK4D ,,,,,,,,,,,,,,,, ,, , ,
LEGO Technic - The Batman-Batcycle (42155),64.95,https://www.fcw.ch/api/ProcessRequest/177420/BN/268x166-lego-technic-the-batman-batcycle-42155.jpg?sourceId=880429&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 641 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 850 g , Box , 1 Stück(e) ,, ,, B0BBRY3FFB , 60 min ,,,,,,,,,,,,,,,,,, ,
LEGO Duplo - Wal (30648),4.95,https://www.fcw.ch/api/ProcessRequest/180012/BN/268x166-lego-duplo-wal-30648.jpg?sourceId=880385&source=Product, Bausatz , Junge/Mädchen ," 1,5 Jahr(e) ",, 9 Stück(e) , ," Blau, Pink ",,, Nicht für Kinder unter 18 Monaten geeignet ,,,,,,,, Polybag ,,,,,,,,,,,,,,,,,,,,,,,,,"
                        "
LEGO Super Mario - Luigi’s Mansion: Gruseliges Versteckspiel – Erweiterungsset (71401),109,https://www.fcw.ch/api/ProcessRequest/136599/BN/268x166-lego-super-mario-luigi-s-mansion-gruseliges-versteckspiel-erweiterungsset-71401.jpg?sourceId=870353&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 877 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 540 mm ," 78,5 mm ", 969 g , Box ,,, ,, B09BNW5DRZ ,,,,,,,,,,,,,,,,,,, ,
LEGO Originals - Holz-Minifigur,189,https://www.fcw.ch/api/ProcessRequest/115245/BN/268x166-lego-originals-holz-minifigur.jpg?sourceId=870291&source=Product, Gebäudefigur , Junge/Mädchen , 12 Jahr(e) ,,,, Holz ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGO Friends - Campingausflug (41726),29.95,https://www.fcw.ch/api/ProcessRequest/169896/BN/268x166-lego-friends-campingausflug-41726.jpg?sourceId=880311&source=Product, Bausatz , Junge/Mädchen , 4 Jahr(e) , 99 Jahr(e) , 87 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 205 mm , 61 mm , 240 g , Box ,,, ,, B0BBRVMNST ,,,,,,,,,,,,,,,,,,, ,
LEGO Creator 3in1 - Delfin und Schildkröte (31128),11.95,https://www.fcw.ch/api/ProcessRequest/125032/BN/268x166-lego-creator-3in1-delfin-und-schildkroete-31128.jpg?sourceId=870429&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 137 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik , Nicht für Kinder unter 18 Monaten geeignet ,, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 141 mm , 191 mm , 46 mm , 165 g , Box ,,, ,, B09BNV4997 ,,,,,,,,,,,,,,,,,,, ,"
                        "
LEGO Minecraft - Das Trainingsgelände (21183),79.95,https://www.fcw.ch/api/ProcessRequest/137140/BN/268x166-lego-minecraft-das-trainingsgelaende-21183.jpg?sourceId=870308&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 534 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 935 g , Box ,,, ,, B09BNXDGHP ,,,,,,,,,,,,,,,,,,, ,
LEGO Disney - Kreative Schlösserbox (43219),46.95,https://www.fcw.ch/api/ProcessRequest/177531/BN/268x166-lego-disney-kreative-schloesserbox-43219.jpg?sourceId=880406&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 140 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 225 mm , 280 mm , 52 mm , 364 g , Box , 1 Stück(e) ,, ,, B0BBS27WDM , 60 min ,,,,,,,,,,,,,,,,,, ,
LEGO Batman 1992,4.95,https://www.fcw.ch/api/ProcessRequest/190271/BN/268x166-lego-batman-1992.jpg?sourceId=886847&source=Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Verfolgungsjagd auf Endor – Diorama (75353),99,https://www.fcw.ch/api/ProcessRequest/184669/BN/268x166-lego-star-wars-verfolgungsjagd-auf-endor-diorama-75353.jpg?sourceId=880444&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 608 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 282 mm , 76 mm , 750 g , Box , 1 Stück(e) ,, ,, B0BBVD4L66 , 60 min ,,,,,,,,,,,,,,,,,, ,
LEGO Super Mario - Fragezeichen-Block aus Super Mario 64 (71395),229,https://www.fcw.ch/api/ProcessRequest/148375/BN/268x166-lego-super-mario-fragezeichen-block-aus-super-mario-64-71395.jpg?sourceId=873152&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 2064 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 582 mm , 103 mm ," 2,74 kg ", Box ,,, ,,,,,,,,,,,,,,,,,,,,, ,
